"","mutation","neglogpval","neglogpvaldir","program","signif"
"1","Histology + stage corrected",2.69118316625081,-2.69118316625081,"CC.S","2"
"2","Histology + stage corrected",0.0258862896596194,-0.0258862896596194,"IFNG","0"
"3","Histology + stage corrected",1.17739363870029,1.17739363870029,"MT.respiration","1"
"4","Histology + stage corrected",2.25558680660548,-2.25558680660548,"CC.G2M","2"
"5","Histology + stage corrected",2.20145766686861,2.20145766686861,"HLA_D.AT2","2"
"6","Histology + stage corrected",1.6995818126377,-1.6995818126377,"Hypoxia","2"
"7","Histology + stage corrected",1.05407791624944,-1.05407791624944,"metallothionein","1"
"8","Histology + stage corrected",0.681627397798203,-0.681627397798203,"Ribosome","0"
"9","Histology + stage corrected",0.175704267124252,0.175704267124252,"AT.SFTPC","0"
"10","Histology + stage corrected",0.686650902201926,0.686650902201926,"AT.SFTPA2.1","0"
"11","Histology + stage corrected",0.802240602344559,-0.802240602344559,"Glycolysis.Hypox","0"
"12","Histology + stage corrected",0.199878821200589,-0.199878821200589,"JUN.FOS","0"
"13","Histology + stage corrected",0.556979510288472,-0.556979510288472,"TNFA.NFKB","0"
"14","Histology + stage corrected",2.06784690577913,-2.06784690577913,"pEMT","2"
"15","Histology + stage corrected",0.324438054930046,0.324438054930046,"OxPhos","0"
"16","Histology + stage corrected",0.100680378140855,0.100680378140855,"Secretory","0"
"17","Histology + stage corrected",0.0475732992455665,0.0475732992455665,"Ciliated","0"
"18","Histology + stage corrected",0.109024652142359,-0.109024652142359,"S100A.KRT.Trachea.ECM.KRASup","0"
"19","Stage corrected",2.15272859640679,-2.15272859640679,"CC.S","2"
"20","Stage corrected",0.272068105224867,-0.272068105224867,"IFNG","0"
"21","Stage corrected",1.38629886467872,1.38629886467872,"MT.respiration","2"
"22","Stage corrected",1.86110130609141,-1.86110130609141,"CC.G2M","2"
"23","Stage corrected",2.69541250983568,2.69541250983568,"HLA_D.AT2","2"
"24","Stage corrected",1.69013469526721,-1.69013469526721,"Hypoxia","2"
"25","Stage corrected",1.77864033538416,-1.77864033538416,"metallothionein","2"
"26","Stage corrected",0.446728399303537,-0.446728399303537,"Ribosome","0"
"27","Stage corrected",0.613782417676094,0.613782417676094,"AT.SFTPC","0"
"28","Stage corrected",0.878028369371955,0.878028369371955,"AT.SFTPA2.1","0"
"29","Stage corrected",1.47254745610514,-1.47254745610514,"Glycolysis.Hypox","2"
"30","Stage corrected",0.1758000562348,-0.1758000562348,"JUN.FOS","0"
"31","Stage corrected",0.321077151855207,-0.321077151855207,"TNFA.NFKB","0"
"32","Stage corrected",1.98102235006461,-1.98102235006461,"pEMT","2"
"33","Stage corrected",0.0458470686832784,0.0458470686832784,"OxPhos","0"
"34","Stage corrected",0.313985344793177,0.313985344793177,"Secretory","0"
"35","Stage corrected",0.0667882881692321,0.0667882881692321,"Ciliated","0"
